epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22929.2,0.98603,0.5659,1.08672,0.97508,0.95429,0.98285,0.75585,0.85525,0.51711,0.9631,0.000643101,0.000643101,0.000643101
43,23474.7,0.98387,0.56291,1.08279,0.97467,0.95452,0.9831,0.75657,0.85505,0.51308,0.96325,0.000628101,0.000628101,0.000628101
44,24020.6,0.98258,0.55853,1.08441,0.97606,0.95348,0.98297,0.75794,0.85488,0.50799,0.96265,0.000612981,0.000612981,0.000612981
45,24566.4,0.97564,0.55794,1.08373,0.97706,0.95429,0.98287,0.75941,0.85469,0.49901,0.96226,0.000597754,0.000597754,0.000597754
46,25111.6,0.96684,0.54792,1.07582,0.97429,0.95359,0.98223,0.76,0.85437,0.49129,0.96226,0.000582435,0.000582435,0.000582435
47,25656.9,0.96294,0.54564,1.07276,0.96992,0.95967,0.98242,0.76109,0.85356,0.48201,0.96104,0.00056704,0.00056704,0.00056704
48,26204,0.96253,0.54478,1.0734,0.9691,0.96067,0.98272,0.76084,0.85313,0.48221,0.96034,0.000551584,0.000551584,0.000551584
49,26750.4,0.95804,0.5401,1.07234,0.96788,0.9611,0.9829,0.76193,0.85312,0.47761,0.96057,0.000536081,0.000536081,0.000536081
50,27296.7,0.95429,0.5407,1.07068,0.97298,0.95712,0.98279,0.76185,0.85225,0.4752,0.96012,0.000520548,0.000520548,0.000520548
51,27842.8,0.94847,0.52997,1.07003,0.97165,0.95951,0.98256,0.76276,0.85102,0.47064,0.95875,0.000505,0.000505,0.000505
52,28387.6,0.94323,0.52614,1.06745,0.97061,0.95954,0.98259,0.76374,0.8511,0.46679,0.95872,0.000489452,0.000489452,0.000489452
53,28932.4,0.93799,0.52012,1.06523,0.9713,0.9594,0.98271,0.76361,0.85062,0.46252,0.95883,0.000473919,0.000473919,0.000473919
54,29478.2,0.93511,0.5236,1.06171,0.97281,0.95889,0.98265,0.76463,0.85042,0.46288,0.95872,0.000458416,0.000458416,0.000458416
55,30022.4,0.9307,0.51527,1.06014,0.97282,0.96031,0.98254,0.76479,0.84988,0.46356,0.9586,0.00044296,0.00044296,0.00044296
56,30566.4,0.93185,0.51581,1.0593,0.97373,0.95902,0.98228,0.76519,0.85,0.46214,0.95924,0.000427565,0.000427565,0.000427565
57,31111.3,0.92594,0.50849,1.05778,0.97453,0.95854,0.98298,0.76556,0.84959,0.45973,0.95851,0.000412246,0.000412246,0.000412246
58,31660.5,0.92235,0.50771,1.05533,0.9741,0.95819,0.98296,0.7663,0.84897,0.45859,0.95805,0.000397019,0.000397019,0.000397019
59,32215.8,0.91505,0.50106,1.05164,0.97615,0.95712,0.9831,0.76704,0.84817,0.45713,0.95769,0.000381899,0.000381899,0.000381899
60,32761.6,0.91647,0.49851,1.04864,0.97727,0.95748,0.98283,0.76755,0.84756,0.45462,0.95746,0.000366899,0.000366899,0.000366899
61,33307.3,0.91128,0.49847,1.05044,0.97563,0.95677,0.98278,0.76798,0.84713,0.45321,0.95694,0.000352037,0.000352037,0.000352037
62,33851.7,0.91165,0.4991,1.05155,0.97199,0.95914,0.98228,0.7679,0.8466,0.45101,0.95664,0.000337325,0.000337325,0.000337325
63,34396,0.90311,0.49447,1.04769,0.97304,0.95937,0.98246,0.76915,0.84611,0.44739,0.95625,0.000322778,0.000322778,0.000322778
64,34941.2,0.89379,0.48753,1.0413,0.9727,0.96102,0.98261,0.76916,0.84606,0.4466,0.9564,0.000308412,0.000308412,0.000308412
65,35486.6,0.89628,0.48515,1.04238,0.97192,0.96173,0.98253,0.76983,0.84623,0.44101,0.95638,0.000294239,0.000294239,0.000294239
66,36032.6,0.89163,0.48327,1.04082,0.97072,0.96327,0.98247,0.77021,0.84592,0.43652,0.95619,0.000280275,0.000280275,0.000280275
67,36581.3,0.89188,0.4838,1.04248,0.97055,0.96421,0.98263,0.77045,0.84571,0.4321,0.95583,0.000266532,0.000266532,0.000266532
68,37127.8,0.88942,0.48259,1.04348,0.97087,0.96386,0.98262,0.77066,0.84534,0.43125,0.95562,0.000253024,0.000253024,0.000253024
69,37675,0.88627,0.4747,1.04099,0.97147,0.96386,0.98277,0.77118,0.84428,0.42905,0.95509,0.000239766,0.000239766,0.000239766
70,38221.8,0.88289,0.47518,1.03905,0.97,0.96492,0.98274,0.77172,0.84484,0.42637,0.95589,0.000226769,0.000226769,0.000226769
71,38770.5,0.87383,0.4702,1.03479,0.97008,0.96493,0.9828,0.77232,0.84468,0.42449,0.95587,0.000214046,0.000214046,0.000214046
72,42810.8,0.87937,0.47162,1.03725,0.97383,0.96267,0.98277,0.7728,0.84395,0.42375,0.95533,0.000201611,0.000201611,0.000201611
73,43382.8,0.87126,0.46589,1.03293,0.97326,0.96315,0.98301,0.77314,0.84439,0.42304,0.95539,0.000189475,0.000189475,0.000189475
74,43963.6,0.86758,0.46319,1.03479,0.97281,0.96352,0.98286,0.77362,0.8438,0.42322,0.95485,0.000177651,0.000177651,0.000177651
75,44574.6,0.86725,0.46515,1.03268,0.97237,0.9635,0.98241,0.7737,0.84343,0.422,0.95456,0.000166149,0.000166149,0.000166149
76,45186.3,0.85846,0.45607,1.02696,0.97179,0.96424,0.98267,0.77409,0.84315,0.41986,0.95432,0.000154982,0.000154982,0.000154982
77,45762.8,0.85787,0.45571,1.02223,0.97095,0.96669,0.98281,0.77364,0.84305,0.41932,0.95442,0.000144161,0.000144161,0.000144161
78,46327.7,0.85654,0.45409,1.02489,0.97184,0.96527,0.98295,0.77427,0.84307,0.41899,0.95438,0.000133695,0.000133695,0.000133695
79,46886.8,0.85327,0.45398,1.02582,0.97263,0.96456,0.98285,0.77358,0.84335,0.41739,0.95458,0.000123596,0.000123596,0.000123596
80,47444.7,0.85391,0.454,1.02738,0.97215,0.96493,0.98258,0.77423,0.84367,0.41579,0.95473,0.000113873,0.000113873,0.000113873
81,48017.9,0.85044,0.45159,1.02552,0.97172,0.96527,0.98251,0.77412,0.84338,0.41434,0.95484,0.000104537,0.000104537,0.000104537
82,48573.1,0.84896,0.44901,1.02265,0.97418,0.96275,0.98252,0.77435,0.84318,0.41179,0.95451,9.55951e-05,9.55951e-05,9.55951e-05
83,49127.8,0.84666,0.44712,1.02235,0.9749,0.96208,0.98237,0.77475,0.84362,0.40993,0.95514,8.70577e-05,8.70577e-05,8.70577e-05
84,49690.4,0.84142,0.44624,1.0206,0.97229,0.96563,0.98246,0.77464,0.84363,0.40813,0.95518,7.89327e-05,7.89327e-05,7.89327e-05
85,50246.5,0.83852,0.44484,1.01994,0.97252,0.9657,0.98213,0.77444,0.84393,0.40568,0.95522,7.12282e-05,7.12282e-05,7.12282e-05
86,50800.2,0.83599,0.44163,1.01922,0.97285,0.96527,0.98246,0.77412,0.84422,0.40403,0.95546,6.39518e-05,6.39518e-05,6.39518e-05
87,51354.5,0.8383,0.44412,1.02032,0.97391,0.96552,0.98243,0.77464,0.844,0.40169,0.95568,5.71106e-05,5.71106e-05,5.71106e-05
88,51905.9,0.83741,0.44239,1.02039,0.9746,0.96521,0.98305,0.77483,0.84446,0.40117,0.95598,5.07115e-05,5.07115e-05,5.07115e-05
89,52458.2,0.83414,0.4416,1.01973,0.97446,0.96527,0.98294,0.77503,0.84496,0.39972,0.95655,4.47606e-05,4.47606e-05,4.47606e-05
90,53010.4,0.83279,0.44073,1.01472,0.97502,0.96492,0.98297,0.77536,0.84504,0.39754,0.95689,3.9264e-05,3.9264e-05,3.9264e-05
91,53587.2,0.78604,0.32987,0.96815,0.97286,0.96527,0.98256,0.77447,0.84545,0.39546,0.95716,3.4227e-05,3.4227e-05,3.4227e-05
92,54192.3,0.77939,0.32571,0.96168,0.97216,0.96492,0.98258,0.77465,0.84585,0.39333,0.95743,2.96546e-05,2.96546e-05,2.96546e-05
93,54779.7,0.77712,0.32421,0.96394,0.9717,0.96492,0.9825,0.77403,0.84612,0.3921,0.95759,2.55513e-05,2.55513e-05,2.55513e-05
94,55365.5,0.7732,0.32195,0.96375,0.97292,0.96421,0.98216,0.7734,0.84604,0.39052,0.95731,2.19212e-05,2.19212e-05,2.19212e-05
95,55949.7,0.77274,0.32125,0.96201,0.97225,0.9635,0.98224,0.77325,0.84534,0.38979,0.95667,1.87678e-05,1.87678e-05,1.87678e-05
96,56531.8,0.77093,0.32114,0.9623,0.97386,0.96173,0.98235,0.77334,0.8453,0.38932,0.95663,1.60943e-05,1.60943e-05,1.60943e-05
97,57089.2,0.76881,0.31973,0.95943,0.9745,0.96167,0.98248,0.77327,0.84532,0.38778,0.95661,1.39032e-05,1.39032e-05,1.39032e-05
98,57768,0.76938,0.31948,0.95876,0.9752,0.96166,0.98237,0.77335,0.84544,0.38689,0.95675,1.21968e-05,1.21968e-05,1.21968e-05
99,58388.7,0.76496,0.31721,0.95887,0.97505,0.96137,0.98232,0.77321,0.84541,0.38639,0.95665,1.09768e-05,1.09768e-05,1.09768e-05
100,59030.1,0.76757,0.32011,0.95951,0.97457,0.96102,0.982,0.77289,0.84533,0.38562,0.95651,1.02443e-05,1.02443e-05,1.02443e-05
