epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6829.62,0.94882,0.51662,1.09582,0.89927,0.85917,0.91089,0.53584,1.49788,0.72668,1.57172,0.000388453,0.000388453,0.000388453
43,6991.67,0.93186,0.51096,1.09046,0.9065,0.86021,0.90935,0.5419,1.47938,0.73261,1.59036,0.00037293,0.00037293,0.00037293
44,7153.66,0.91793,0.5007,1.07985,0.91263,0.87959,0.92203,0.53908,1.50231,0.71213,1.59496,0.000357455,0.000357455,0.000357455
45,7315.78,0.89627,0.49506,1.06931,0.89549,0.8782,0.91873,0.54258,1.48358,0.71253,1.58491,0.000342052,0.000342052,0.000342052
46,7477.79,0.88803,0.48605,1.06412,0.88549,0.87214,0.91797,0.54002,1.51414,0.72439,1.61826,0.000326744,0.000326744,0.000326744
47,7639.59,0.87549,0.47785,1.05876,0.91267,0.86435,0.92036,0.54173,1.51706,0.72758,1.62262,0.000311556,0.000311556,0.000311556
48,7801.31,0.85646,0.46636,1.04737,0.91608,0.85364,0.91301,0.5401,1.50102,0.71706,1.62592,0.00029651,0.00029651,0.00029651
49,7963.16,0.84428,0.45785,1.03794,0.92444,0.8463,0.91119,0.54579,1.49087,0.71537,1.61322,0.000281629,0.000281629,0.000281629
50,8124.92,0.83751,0.45334,1.03803,0.88661,0.86917,0.91446,0.54247,1.4988,0.70216,1.62262,0.000266938,0.000266938,0.000266938
51,8286.59,0.82023,0.45218,1.02787,0.91667,0.85414,0.91829,0.55137,1.48881,0.70034,1.61278,0.000252457,0.000252457,0.000252457
52,8448.38,0.80771,0.44321,1.02507,0.90851,0.86015,0.91891,0.54872,1.4926,0.6961,1.60833,0.000238211,0.000238211,0.000238211
53,8609.95,0.78535,0.43168,0.99947,0.90721,0.86742,0.92063,0.55223,1.49178,0.67542,1.63541,0.00022422,0.00022422,0.00022422
54,8771.68,0.77554,0.4299,1.00064,0.90366,0.85564,0.91221,0.55523,1.49983,0.70732,1.64154,0.000210506,0.000210506,0.000210506
55,8933.36,0.77664,0.42348,1.0039,0.90235,0.8782,0.91989,0.55715,1.48435,0.67284,1.6511,0.000197091,0.000197091,0.000197091
56,9095.25,0.75944,0.41492,0.9973,0.90245,0.87669,0.91774,0.54986,1.50378,0.68309,1.65623,0.000183994,0.000183994,0.000183994
57,9257.26,0.74273,0.40153,0.98602,0.92916,0.86779,0.92307,0.55695,1.49504,0.67489,1.64257,0.000171237,0.000171237,0.000171237
58,9419.35,0.73423,0.40335,0.98004,0.91995,0.88271,0.92079,0.55596,1.5004,0.6734,1.66109,0.000158839,0.000158839,0.000158839
