epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,58304.8,0.86555,0.38544,1.09965,0.97206,0.95925,0.98024,0.76436,0.85457,0.44239,1.07259,0.000388453,0.000388453,0.000388453
43,59589.5,0.85798,0.38162,1.09449,0.97254,0.9596,0.98012,0.76494,0.85482,0.44201,1.07215,0.00037293,0.00037293,0.00037293
44,60948.7,0.84904,0.37712,1.08453,0.97295,0.95889,0.97988,0.7648,0.8543,0.441,1.07156,0.000357455,0.000357455,0.000357455
45,62300.1,0.84417,0.3733,1.08557,0.97095,0.95952,0.97999,0.76592,0.854,0.43991,1.07146,0.000342052,0.000342052,0.000342052
46,63614.6,0.83664,0.36988,1.07728,0.97231,0.95854,0.97988,0.76572,0.85391,0.44054,1.07163,0.000326744,0.000326744,0.000326744
47,64966.2,0.82852,0.36452,1.06993,0.97166,0.9599,0.97988,0.76529,0.85407,0.44424,1.07143,0.000311556,0.000311556,0.000311556
48,66325.2,0.82289,0.36044,1.06737,0.97234,0.95935,0.97998,0.76635,0.85415,0.44511,1.07128,0.00029651,0.00029651,0.00029651
49,67680.6,0.82009,0.358,1.06185,0.97164,0.95905,0.9798,0.76695,0.85405,0.44633,1.07079,0.000281629,0.000281629,0.000281629
50,69040.6,0.81266,0.35392,1.06141,0.97232,0.95889,0.97949,0.76612,0.85428,0.44776,1.07105,0.000266938,0.000266938,0.000266938
51,70398.5,0.80429,0.35085,1.05676,0.97096,0.95956,0.97917,0.76651,0.8543,0.44908,1.07094,0.000252457,0.000252457,0.000252457
52,74854.4,0.79967,0.34742,1.05652,0.97242,0.95889,0.97896,0.76676,0.85416,0.45172,1.07088,0.000238211,0.000238211,0.000238211
53,76095.8,0.7963,0.34501,1.05503,0.97508,0.95996,0.97914,0.76662,0.8545,0.45372,1.0716,0.00022422,0.00022422,0.00022422
54,77293.4,0.78897,0.34232,1.05145,0.9745,0.9596,0.97907,0.76781,0.85421,0.45517,1.07215,0.000210506,0.000210506,0.000210506
55,78507.6,0.78294,0.33883,1.04833,0.97412,0.9596,0.9791,0.76762,0.85477,0.45903,1.07287,0.000197091,0.000197091,0.000197091
56,79718.2,0.77948,0.33602,1.04276,0.97481,0.95973,0.97935,0.76689,0.8556,0.4607,1.07348,0.000183994,0.000183994,0.000183994
57,80932.4,0.7712,0.33274,1.03974,0.97482,0.96043,0.97937,0.76719,0.85561,0.46437,1.07385,0.000171237,0.000171237,0.000171237
58,82149.5,0.7687,0.33049,1.03835,0.97582,0.95854,0.97937,0.76733,0.85628,0.46658,1.0745,0.000158839,0.000158839,0.000158839
59,83368.5,0.76211,0.32792,1.03204,0.97651,0.95773,0.97934,0.76757,0.85695,0.46999,1.07523,0.000146819,0.000146819,0.000146819
60,84587,0.75815,0.32623,1.03099,0.97511,0.95805,0.97945,0.76756,0.85721,0.47454,1.07526,0.000135195,0.000135195,0.000135195
61,85807.3,0.7529,0.32319,1.026,0.97555,0.95889,0.97933,0.76732,0.85776,0.47951,1.07603,0.000123986,0.000123986,0.000123986
62,87027,0.74944,0.3189,1.02459,0.97545,0.95748,0.97891,0.76785,0.85787,0.48329,1.07613,0.000113208,0.000113208,0.000113208
63,88249.5,0.74602,0.31863,1.02205,0.97477,0.9585,0.97861,0.76751,0.85788,0.48578,1.07643,0.000102879,0.000102879,0.000102879
64,89467.1,0.7406,0.31641,1.01793,0.97372,0.95864,0.97847,0.76798,0.85877,0.49006,1.07708,9.30145e-05,9.30145e-05,9.30145e-05
65,90689.9,0.7367,0.31286,1.01855,0.97273,0.96077,0.9782,0.76807,0.85941,0.49016,1.07774,8.36293e-05,8.36293e-05,8.36293e-05
66,91912.5,0.7346,0.3128,1.01637,0.97237,0.9602,0.97837,0.7682,0.86041,0.49199,1.07855,7.4738e-05,7.4738e-05,7.4738e-05
67,93131,0.72998,0.3121,1.01353,0.97165,0.95925,0.97778,0.7679,0.86123,0.49413,1.07922,6.63545e-05,6.63545e-05,6.63545e-05
68,94352.2,0.72774,0.31216,1.01419,0.97233,0.95867,0.97811,0.76754,0.86197,0.49677,1.07998,5.84916e-05,5.84916e-05,5.84916e-05
69,95577.5,0.72428,0.30891,1.01191,0.97098,0.96053,0.97824,0.76819,0.86266,0.49852,1.0804,5.11614e-05,5.11614e-05,5.11614e-05
70,96794.2,0.72066,0.30758,1.00957,0.97077,0.96102,0.97797,0.7678,0.86325,0.50225,1.0806,4.43753e-05,4.43753e-05,4.43753e-05
71,98024.7,0.71906,0.30525,1.00741,0.971,0.96092,0.97804,0.76745,0.86383,0.50631,1.08112,3.81437e-05,3.81437e-05,3.81437e-05
72,99234.1,0.7177,0.30553,1.00616,0.97137,0.9596,0.97851,0.76764,0.86402,0.50864,1.08122,3.24762e-05,3.24762e-05,3.24762e-05
73,100439,0.71601,0.30471,1.00496,0.9742,0.95677,0.97784,0.76766,0.86504,0.51058,1.08214,2.73816e-05,2.73816e-05,2.73816e-05
74,101649,0.71386,0.30383,1.00662,0.97509,0.95713,0.97774,0.76741,0.86612,0.51237,1.08273,2.28677e-05,2.28677e-05,2.28677e-05
75,102871,0.71531,0.30322,1.00462,0.97438,0.95685,0.97736,0.76757,0.86673,0.51382,1.08306,1.89415e-05,1.89415e-05,1.89415e-05
76,104094,0.71178,0.30313,1.0041,0.97383,0.95712,0.97698,0.76747,0.8672,0.51485,1.0836,1.5609e-05,1.5609e-05,1.5609e-05
77,105307,0.71298,0.30365,1.00419,0.97351,0.95677,0.97685,0.76721,0.86807,0.5164,1.08415,1.28754e-05,1.28754e-05,1.28754e-05
78,106511,0.7103,0.30158,1.00286,0.97258,0.95712,0.97631,0.76722,0.86865,0.51583,1.08465,1.07449e-05,1.07449e-05,1.07449e-05
79,107716,0.70757,0.30085,1.00182,0.97159,0.95724,0.97612,0.7672,0.86922,0.51723,1.08505,9.22074e-06,9.22074e-06,9.22074e-06
80,108971,0.70734,0.30115,0.99922,0.9706,0.95712,0.97627,0.76673,0.86972,0.51643,1.0855,8.3053e-06,8.3053e-06,8.3053e-06
